,Children,Age,Income,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,TimelyResponse,Fixes,Replacements,Reliability,Options,Respectfulness,Courteous,Listening
0,0,68,28561.99,Male,No,7.9783229470000006,10,0,1,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),6.795512947000001,172.45551899999998,904.5361101999999,5,5,5,3,4,4,3,4
1,1,27,21704.77,Female,Yes,11.69907956,12,0,1,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),1.156680997,242.632554,800.9827661,3,4,3,3,4,3,4,4
2,4,50,9609.57,Female,No,10.75280028,9,0,1,Yes,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),15.75414408,159.947583,2054.706961,4,4,2,4,4,3,3,3
3,1,48,18925.23,Male,No,14.91353964,15,2,0,Yes,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,17.08722662,119.95683999999999,2164.579412,4,4,4,2,5,4,3,3
4,0,83,40074.19,Male,Yes,8.147416533,16,2,1,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,1.6709717259999999,149.948316,271.49343619999996,4,4,4,3,4,4,4,5
5,3,83,22660.2,Female,No,8.420992898,15,3,1,No,One year,Yes,No,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,7.000993555,185.007692,1039.357983,3,3,3,2,4,3,3,3
6,0,79,11467.5,Male,Yes,11.18272453,10,0,1,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,13.23677381,200.118516,1907.2429719999998,6,5,6,4,1,5,5,5
7,2,30,26759.64,Female,Yes,7.791632265,16,0,0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,4.26425515,114.950905,979.6127078,2,2,2,5,2,3,4,5
8,2,49,58634.51,Nonbinary,No,5.739005915,20,2,3,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),8.220686373,117.46859099999999,1312.874964,5,4,4,3,4,3,4,4
9,1,86,50231.4,Female,No,8.707823904,18,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,3.4220861389999997,162.48269399999998,508.7637913,2,2,2,2,5,2,3,3
10,7,23,22580.7,Female,No,9.341631685,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.26726194,174.95811799999998,2728.7678690000002,4,4,4,7,3,3,3,4
11,2,56,18342.12,Female,No,6.68082638,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,10.52199781,149.96209299999998,1180.588788,4,4,3,4,4,4,3,4
12,0,83,83671.08,Male,No,8.273875452,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01149229,137.439154,1196.3880179999999,1,2,1,4,3,2,3,3
13,5,29,115114.57,Female,No,5.880565591,14,1,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),16.87922024,184.97151599999998,1948.694497,5,6,5,2,4,5,4,4
14,1,30,64256.81,Male,Yes,11.79073041,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),10.06019902,159.96558100000001,1582.295235,3,3,4,2,3,4,4,2
15,3,39,89061.45,Male,Yes,10.79846973,13,1,0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87001293,177.65076000000002,1840.0144670000002,3,3,3,2,4,3,5,2
16,0,63,31659.3,Female,Yes,13.52284721,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),15.78214958,194.966286,2070.376729,3,4,4,3,5,4,4,3
17,2,60,44142.81,Male,Yes,9.831166695,16,3,0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,2.303331273,202.682861,882.0985933000001,2,2,4,3,3,4,3,3
18,3,61,39262.14,Female,No,9.57470568,11,1,0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),17.10995632,152.490739,1833.0967,3,4,3,4,3,2,3,5
19,3,23,19494.75,Male,Yes,10.92246098,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),12.80615845,149.944668,1954.080809,5,5,5,4,4,4,3,3
20,4,38,39624.21,Male,No,12.06889188,14,0,3,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),20.45390977,184.97845800000002,2330.319383,2,3,3,2,4,2,3,3
21,3,30,45714.47,Male,No,6.984819996000001,18,1,0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),2.415991977,127.49576599999999,594.1054279,5,5,4,4,3,4,3,5
